datetime,qualitystatus,resolutioncode,netregulationvolume,systemimbalance,alpha,marginalincrementalprice,marginaldecrementalprice,strategicreserveprice,positiveimbalanceprice,negativeimbalanceprice
2024-01-02T22:45:00+00:00,Validated,PT15M,-111.246,176.927,0.0,102.21,-454.99,,-454.99,-454.99
2024-01-02T23:00:00+00:00,Validated,PT15M,-56.423,33.547,0.0,184.94,-32.22,,-32.22,-32.22
2024-01-02T23:15:00+00:00,Validated,PT15M,-118.825,120.317,0.0,97.21,-93.82,,-93.82,-93.82
2024-01-02T23:30:00+00:00,Validated,PT15M,-96.914,91.312,0.0,97.25,-85.0,,-85.0,-85.0
2024-01-02T23:45:00+00:00,Validated,PT15M,-147.923,159.823,0.97,97.21,-56.37,,-57.34,-57.34
2024-01-03T00:00:00+00:00,Validated,PT15M,34.704,-59.791,0.0,209.04,-51.89,,209.04,209.04
2024-01-03T00:15:00+00:00,Validated,PT15M,-12.689,31.732,0.0,210.2,-154.44,,-154.44,-154.44
2024-01-03T00:30:00+00:00,Validated,PT15M,7.806,5.365,0.0,160.14,-47.48,,-47.48,-47.48
2024-01-03T00:45:00+00:00,Validated,PT15M,-31.151,22.5,0.0,144.28,-37.02,,-37.02,-37.02
2024-01-03T01:00:00+00:00,Validated,PT15M,-19.759,7.547,0.0,166.74,-32.81,,-32.81,-32.81
2024-01-03T01:15:00+00:00,Validated,PT15M,1.174,-6.898,0.0,167.66,-34.49,,167.66,167.66
2024-01-03T01:30:00+00:00,Validated,PT15M,-18.204,30.459,0.0,170.03,-38.15,,-38.15,-38.15
2024-01-03T01:45:00+00:00,Validated,PT15M,48.42,-27.951,0.0,171.63,-41.17,,171.63,171.63
2024-01-03T02:00:00+00:00,Validated,PT15M,47.256,-54.499,0.0,123.77,-36.15,,123.77,123.77
2024-01-03T02:15:00+00:00,Validated,PT15M,63.72,-63.431,0.0,130.75,-37.02,,130.75,130.75
2024-01-03T02:30:00+00:00,Validated,PT15M,-3.589,36.616,0.0,143.14,-41.88,,-41.88,-41.88
2024-01-03T02:45:00+00:00,Validated,PT15M,-60.435,69.88,0.0,178.94,-86.99,,-86.99,-86.99
2024-01-03T03:00:00+00:00,Validated,PT15M,26.8,-26.603,0.0,173.8,-38.16,,173.8,173.8
2024-01-03T03:15:00+00:00,Validated,PT15M,-0.314,20.524,0.0,173.97,-38.12,,-38.12,-38.12
2024-01-03T03:30:00+00:00,Validated,PT15M,30.162,-35.972,0.0,173.78,-42.44,,173.78,173.78
2024-01-03T03:45:00+00:00,Validated,PT15M,36.776,-15.074,0.0,172.05,-45.4,,172.05,172.05
2024-01-03T04:00:00+00:00,Validated,PT15M,5.134,-0.308,0.0,180.34,-49.25,,180.34,180.34
2024-01-03T04:15:00+00:00,Validated,PT15M,21.216,-17.196,0.0,175.73,-47.22,,175.73,175.73
2024-01-03T04:30:00+00:00,Validated,PT15M,-10.708,-9.764,0.0,183.31,-42.8,,183.31,183.31
2024-01-03T04:45:00+00:00,Validated,PT15M,14.845,-28.48,0.0,234.48,-38.96,,234.48,234.48
2024-01-03T05:00:00+00:00,Validated,PT15M,42.09,-37.01,0.0,177.65,-40.59,,177.65,177.65
